IN,Firm Name,Web,Industry,Employees,Founded,City,Country,Continent
1,Swarovski,https://www.swarovski.com,Affordable Jewellery,29000,1895,Wattens,Austria,EU
2,Tiffany & Co,https://www.tiffany.com,Affordable Jewellery,14200,1837,New York,New York,US
3,Cartier,https://www.cartier.com,Luxury Jewellery,7500,1847,Paris,France,EU
4,Dior,https://www.dior.com/en_int/jewelry-timepieces/jewelry-by-category/all-jewellery,Luxury Jewellery,135546,1946,Paris,France,EU
5,Bulgari,https://www.bulgari.com/en-int/jewellery/bestsellers,Luxury Jewellery,3815,1884,Rome,Italy,EU
6,Chanel,https://www.chanel.com/cz/fine-jewellery/,Luxury Jewellery,28000,1910,London,UK,EU
7,Chopard,https://www.chopard.com/intl/jewellery,Luxury Jewellery,2000,1860,Geneve,Switzerland,EU
8,Mikimoto,https://www.mikimotoamerica.com/us_en/,Luxury Jewellery,150,1893,Tokyo,Japan,Asia
9,Graff,https://www.graff.com/eu-en/home/,Luxury Jewellery,578,1960,London,UK,EU
10,Pandora,https://us.pandora.net,Affordable Jewellery,26000,1982,Copenhagen,Denmark,EU
11,Calvin Klein,https://www.calvinklein.com/womens-watches-jewellery,Affordable Jewellery,11500,1968,New York,New York,US
12,Thomas Sabo,https://www.thomassabo.com,Affordable Jewellery,1860,1984,Nuremberg,Germany,EU
13,Olivia Burton,https://www.oliviaburton.com/uk/shop-jewellery/shop-all-jewellery/,Affordable Jewellery,100,2012,London,UK,EU
14,Kate Spade,https://www.katespade.com/jewelry/view-all/,Affordable Jewellery,5500,1993,New York,New York,US
15,Gucci,https://www.gucci.com,Luxury Jewellery,17157,1921,Florence,Italy,EU
16,Dolce Gabbana,https://www.dolcegabbana.com/en/women/watchesandjewelry/,Luxury Jewellery,3150,1985,Milan,Italy,EU